2502.192,1431.1955344374835
7,4469,2023-04-27T03:11:07.259480
22,4409,2023-04-26T21:17:07.259482
11,4624,2023-04-26T22:03:07.259484
9,244,2023-04-26T13:28:07.259486
26,4624,2023-04-26T22:31:07.259488
19,1298,2023-04-26T19:09:07.259490
18,4399,2023-04-27T05:10:07.259492
4,2380,2023-04-27T06:30:07.259493
3,4039,2023-04-26T22:34:07.259495
27,4633,2023-04-27T10:03:07.259497
5,553,2023-04-26T18:46:07.259499
14,2412,2023-04-26T15:01:07.259501
23,2858,2023-04-26T16:35:07.259503
0,3637,2023-04-27T05:42:07.259504
6,2452,2023-04-27T03:00:07.259506
21,2483,2023-04-26T23:25:07.259508
11,1373,2023-04-27T07:25:07.259510
7,2229,2023-04-26T23:22:07.259512
9,28,2023-04-26T21:09:07.259514
18,3829,2023-04-26T21:37:07.259515
18,3252,2023-04-26T14:41:07.259517
6,76,2023-04-26T17:08:07.259519
2,4971,2023-04-26T21:57:07.259521
25,1745,2023-04-26T18:24:07.259523
23,1373,2023-04-26T15:45:07.259525
29,2958,2023-04-26T19:54:07.259526
12,2137,2023-04-27T10:25:07.259528
24,1470,2023-04-27T10:03:07.259530
20,3203,2023-04-26T15:50:07.259532
21,4242,2023-04-27T04:18:07.259534
4,754,2023-04-26T20:36:07.259536
6,4535,2023-04-26T14:09:07.259538
7,3138,2023-04-27T06:33:07.259539
17,1730,2023-04-27T00:37:07.259541
24,390,2023-04-27T02:48:07.259543
24,470,2023-04-27T11:06:07.259545
25,2050,2023-04-27T00:34:07.259547
0,1284,2023-04-26T14:56:07.259549
21,3672,2023-04-26T13:32:07.259551
23,3898,2023-04-27T03:29:07.259553
11,612,2023-04-27T01:23:07.259555
1,1923,2023-04-27T00:54:07.259557
7,3389,2023-04-27T02:09:07.259558
16,4366,2023-04-27T08:34:07.259560
3,794,2023-04-27T05:25:07.259562
27,4952,2023-04-26T21:28:07.259564
28,1630,2023-04-26T15:43:07.259566
23,941,2023-04-26T15:39:07.259568
10,5213,2023-04-27T12:38:07.259570
21,4471,2023-04-26T20:14:07.259572
4,1356,2023-04-27T04:16:07.259575
5,4909,2023-04-26T14:09:07.259577
26,174,2023-04-27T03:48:07.259579
0,3113,2023-04-27T08:50:07.259581
10,5021,2023-04-27T01:09:07.259582
18,2918,2023-04-26T21:43:07.259584
6,2667,2023-04-27T04:29:07.259586
21,1259,2023-04-26T15:47:07.259588
5,2858,2023-04-27T02:54:07.259590
7,3852,2023-04-26T21:26:07.259592
2,3944,2023-04-27T01:35:07.259593
26,2137,2023-04-26T22:28:07.259595
19,4411,2023-04-27T13:01:07.259597
28,2027,2023-04-27T13:06:07.259599
11,512,2023-04-26T17:28:07.259601
9,1512,2023-04-27T04:04:07.259603
14,3956,2023-04-27T01:48:07.259605
11,3417,2023-04-27T00:30:07.259607
16,4198,2023-04-26T15:03:07.259609
6,1427,2023-04-27T04:38:07.259610
27,86,2023-04-27T04:24:07.259612
7,3490,2023-04-27T08:13:07.259614
9,4070,2023-04-26T22:55:07.259616
8,3126,2023-04-26T21:53:07.259618
2,1102,2023-04-27T06:47:07.259619
27,3256,2023-04-27T01:45:07.259621
0,3045,2023-04-26T16:22:07.259623
27,2505,2023-04-26T14:34:07.259625
18,2284,2023-04-26T21:40:07.259627
17,3376,2023-04-26T22:16:07.259628
7,1952,2023-04-27T06:31:07.259630
6,4618,2023-04-26T18:50:07.259632
6,1066,2023-04-26T14:25:07.259634
17,4244,2023-04-27T11:06:07.259636
11,973,2023-04-27T11:51:07.259638
23,3439,2023-04-27T07:33:07.259639
8,4813,2023-04-27T01:54:07.259641
9,1021,2023-04-27T06:27:07.259643
2,72,2023-04-27T12:50:07.259645
25,4409,2023-04-27T07:30:07.259647
26,1427,2023-04-27T06:19:07.259649
21,3837,2023-04-27T06:02:07.259650
18,2042,2023-04-27T12:42:07.259652
2,4834,2023-04-27T04:54:07.259654
11,4864,2023-04-26T17:25:07.259656
4,539,2023-04-27T06:41:07.259658
6,2945,2023-04-26T23:25:07.259660
18,1623,2023-04-27T00:35:07.259662
20,3320,2023-04-27T08:20:07.259663
9,252,2023-04-26T22:06:07.259665
27,3363,2023-04-27T13:18:07.259667
29,1471,2023-04-26T13:43:07.259669
13,4644,2023-04-27T00:50:07.259671
18,1049,2023-04-27T06:51:07.259673
13,3417,2023-04-27T05:22:07.259674
22,3635,2023-04-26T23:02:07.259676
0,2883,2023-04-27T04:52:07.259678
15,1127,2023-04-26T17:41:07.259680
10,37,2023-04-27T12:27:07.259682
18,2577,2023-04-26T16:19:07.259684
1,1512,2023-04-26T23:54:07.259686
29,610,2023-04-27T12:03:07.259687
10,34,2023-04-26T14:56:07.259689
0,2107,2023-04-26T21:22:07.259691
9,2264,2023-04-26T20:51:07.259693
0,1868,2023-04-27T05:58:07.259695
23,1897,2023-04-27T10:08:07.259696
25,1182,2023-04-27T06:19:07.259698
14,2986,2023-04-27T09:11:07.259700
25,2575,2023-04-27T11:37:07.259702
13,3060,2023-04-27T06:01:07.259704
19,142,2023-04-27T08:05:07.259706
11,86,2023-04-26T23:40:07.259708
16,2858,2023-04-26T17:15:07.259710
9,419,2023-04-26T20:35:07.259711
27,994,2023-04-26T17:35:07.259713
7,1369,2023-04-27T00:37:07.259715
0,4467,2023-04-27T01:23:07.259717
9,2708,2023-04-26T15:33:07.259719
15,2380,2023-04-27T09:30:07.259721
14,602,2023-04-27T11:30:07.259723
17,553,2023-04-27T08:40:07.259725
5,4954,2023-04-27T12:20:07.259726
29,4528,2023-04-27T09:01:07.259728
16,431,2023-04-26T23:46:07.259730
11,1979,2023-04-27T02:10:07.259732
15,3475,2023-04-26T21:58:07.259734
13,2744,2023-04-27T11:51:07.259736
18,2656,2023-04-26T16:45:07.259737
21,1204,2023-04-26T22:23:07.259739
27,3081,2023-04-26T14:27:07.259741
10,2292,2023-04-26T23:05:07.259743
9,2327,2023-04-27T10:44:07.259745
6,2712,2023-04-27T04:51:07.259747
3,1944,2023-04-26T18:58:07.259748
0,2270,2023-04-27T09:19:07.259750
14,707,2023-04-26T21:32:07.259752
22,4292,2023-04-27T05:10:07.259754
15,143,2023-04-26T20:33:07.259756
28,1945,2023-04-26T17:54:07.259758
23,2622,2023-04-27T03:19:07.259759
14,1704,2023-04-26T23:28:07.259761
15,1656,2023-04-26T22:08:07.259763
4,1459,2023-04-26T22:38:07.259765
12,4316,2023-04-27T01:57:07.259767
2,3007,2023-04-26T16:34:07.259768
2,649,2023-04-27T06:28:07.259770
4,4611,2023-04-27T00:18:07.259772
23,4952,2023-04-27T06:37:07.259774
22,3852,2023-04-27T10:20:07.259776
1,4960,2023-04-27T09:15:07.259778
10,3617,2023-04-27T06:13:07.259780
11,3850,2023-04-26T23:05:07.259781
27,3876,2023-04-26T23:03:07.259783
6,4633,2023-04-27T00:25:07.259785
8,2406,2023-04-26T22:19:07.259787
11,17,2023-04-26T14:50:07.259789
7,2997,2023-04-27T12:12:07.259791
5,1403,2023-04-26T16:38:07.259793
2,866,2023-04-27T04:34:07.259795
29,1461,2023-04-26T21:13:07.259796
25,1727,2023-04-26T18:38:07.259798
14,4162,2023-04-26T14:39:07.259800
4,10,2023-04-26T13:59:07.259802
12,4960,2023-04-27T01:21:07.259804
7,2212,2023-04-26T21:39:07.259806
17,3475,2023-04-26T17:13:07.259808
16,3295,2023-04-26T23:33:07.259809
10,3904,2023-04-27T02:43:07.259811
13,2584,2023-04-27T09:42:07.259813
18,1224,2023-04-27T09:00:07.259815
19,3105,2023-04-26T16:50:07.259817
2,2532,2023-04-26T18:38:07.259819
26,2240,2023-04-27T12:26:07.259821
6,4402,2023-04-27T10:47:07.259822
1,2645,2023-04-27T05:12:07.259824
13,2392,2023-04-26T20:29:07.259826
3,3171,2023-04-26T18:00:07.259828
22,2430,2023-04-26T14:37:07.259830
24,4441,2023-04-27T07:18:07.259832
3,2573,2023-04-26T15:42:07.259833
13,3045,2023-04-26T23:17:07.259835
9,3292,2023-04-26T19:42:07.259837
1,2406,2023-04-26T23:40:07.259839
25,4954,2023-04-27T03:19:07.259841
12,131,2023-04-26T23:39:07.259843
25,1068,2023-04-26T15:01:07.259845
27,2111,2023-04-26T14:40:07.259847
19,4385,2023-04-26T23:28:07.259848
2,4292,2023-04-26T15:08:07.259850
27,1147,2023-04-27T09:13:07.259852
7,2991,2023-04-27T00:28:07.259854
9,4391,2023-04-27T03:06:07.259856
13,4805,2023-04-27T02:49:07.259859
4,2239,2023-04-26T20:21:07.259860
28,4491,2023-04-27T09:41:07.259862
2,986,2023-04-27T12:55:07.259864
7,4549,2023-04-26T19:21:07.259866
18,2577,2023-04-26T22:37:07.259868
8,3509,2023-04-26T20:36:07.259870
25,1639,2023-04-27T05:27:07.259872
21,617,2023-04-27T06:46:07.259873
28,70,2023-04-27T07:05:07.259875
0,1461,2023-04-26T22:18:07.259877
19,3850,2023-04-26T16:22:07.259879
16,4914,2023-04-26T21:54:07.259881
5,1767,2023-04-26T19:10:07.259883
11,2962,2023-04-26T18:09:07.259885
24,1523,2023-04-26T15:56:07.259887
22,1694,2023-04-26T18:12:07.259889
9,2383,2023-04-27T06:24:07.259890
10,4479,2023-04-27T06:24:07.259892
14,804,2023-04-27T09:09:07.259894
3,2928,2023-04-27T08:03:07.259896
12,554,2023-04-27T01:41:07.259898
1,1496,2023-04-26T14:38:07.259900
24,4843,2023-04-26T22:54:07.259902
2,3081,2023-04-27T01:24:07.259904
21,1189,2023-04-27T07:49:07.259906
6,3179,2023-04-27T10:15:07.259907
23,2858,2023-04-27T11:57:07.259909
10,971,2023-04-26T17:21:07.259911
25,3007,2023-04-27T10:25:07.259913
5,1553,2023-04-26T15:05:07.259915
9,4133,2023-04-27T00:37:07.259916
15,4420,2023-04-26T21:49:07.259918
26,2260,2023-04-26T17:40:07.259920
29,3417,2023-04-26T13:44:07.259922
13,1271,2023-04-26T14:47:07.259924
27,3347,2023-04-26T16:58:07.259926
8,1940,2023-04-26T19:21:07.259928
5,1760,2023-04-27T11:46:07.259929
26,2879,2023-04-27T05:27:07.259931
25,2575,2023-04-27T10:41:07.259933
22,1033,2023-04-27T06:58:07.259935
15,172,2023-04-27T11:21:07.259937
7,310,2023-04-27T08:37:07.259939
23,2199,2023-04-26T14:54:07.259941
7,3621,2023-04-26T13:32:07.259942
7,2910,2023-04-26T22:51:07.259944
15,1945,2023-04-26T16:36:07.259946
9,1204,2023-04-27T03:13:07.259948
13,2718,2023-04-26T20:16:07.259950
5,3586,2023-04-26T19:57:07.259952
26,2071,2023-04-26T18:33:07.259956
27,4056,2023-04-27T09:25:07.259958
9,1337,2023-04-27T07:33:07.259960
3,1916,2023-04-27T12:39:07.259962
22,4977,2023-04-27T08:42:07.259963
12,2667,2023-04-26T14:22:07.259965
8,51,2023-04-27T06:17:07.259967
19,888,2023-04-26T19:59:07.259969
29,62,2023-04-27T02:29:07.259971
4,1969,2023-04-26T15:23:07.259973
5,3579,2023-04-26T17:05:07.259975
24,935,2023-04-27T01:23:07.259976
7,4628,2023-04-27T09:48:07.259978
29,2229,2023-04-27T03:52:07.259980
12,1033,2023-04-27T11:11:07.259982
24,602,2023-04-27T04:11:07.259984
26,416,2023-04-26T19:55:07.259986
22,4509,2023-04-26T17:44:07.259988
