2515.9499,1442.0474197702642
11,3819,2023-04-27T08:55:54.494811
14,756,2023-04-27T12:14:54.494813
25,4945,2023-04-26T19:29:54.494815
15,1983,2023-04-26T23:06:54.494817
17,172,2023-04-27T07:47:54.494818
8,2982,2023-04-27T09:56:54.494820
5,2705,2023-04-26T20:34:54.494822
8,2866,2023-04-26T14:28:54.494824
1,1215,2023-04-26T19:37:54.494826
23,1931,2023-04-26T16:48:54.494831
27,4304,2023-04-27T06:00:54.494833
15,3500,2023-04-27T02:35:54.494834
11,4836,2023-04-27T00:15:54.494836
15,2970,2023-04-27T06:17:54.494838
29,4956,2023-04-27T02:01:54.494840
4,3639,2023-04-26T15:27:54.494842
22,1862,2023-04-27T00:08:54.494844
22,4821,2023-04-27T04:43:54.494845
8,451,2023-04-26T14:30:54.494847
5,281,2023-04-26T18:35:54.494849
9,2849,2023-04-27T11:49:54.494851
7,3414,2023-04-26T18:42:54.494856
19,1532,2023-04-27T01:57:54.494858
24,1327,2023-04-27T00:23:54.494859
17,1429,2023-04-27T07:14:54.494861
19,4965,2023-04-27T08:23:54.494863
17,4595,2023-04-27T13:15:54.494865
14,89,2023-04-26T22:22:54.494867
6,4226,2023-04-27T10:39:54.494869
24,2112,2023-04-26T21:48:54.494870
29,3967,2023-04-27T09:53:54.494872
22,2500,2023-04-26T20:08:54.494874
22,455,2023-04-27T09:07:54.494876
1,2007,2023-04-27T01:37:54.494878
1,4570,2023-04-27T13:20:54.494880
21,1562,2023-04-27T08:47:54.494882
14,3777,2023-04-27T01:46:54.494884
20,1540,2023-04-27T12:49:54.494886
16,1265,2023-04-27T05:05:54.494888
5,3289,2023-04-27T06:32:54.494889
26,4772,2023-04-26T19:03:54.494891
16,3773,2023-04-27T04:08:54.494893
9,1256,2023-04-27T01:50:54.494895
1,881,2023-04-26T21:02:54.494897
2,3541,2023-04-27T02:56:54.494899
20,1688,2023-04-26T13:38:54.494901
2,2895,2023-04-26T17:39:54.494903
8,2535,2023-04-26T16:54:54.494904
9,516,2023-04-27T11:55:54.494906
21,844,2023-04-27T08:14:54.494908
12,3776,2023-04-27T01:06:54.494910
6,1729,2023-04-26T19:02:54.494912
21,3325,2023-04-27T01:12:54.494914
23,62,2023-04-27T01:47:54.494919
25,1052,2023-04-27T07:20:54.494920
11,2130,2023-04-26T13:50:54.494922
14,417,2023-04-27T11:55:54.494924
28,3007,2023-04-26T16:04:54.494926
22,3823,2023-04-26T14:55:54.494928
19,2258,2023-04-27T00:44:54.494929
29,1805,2023-04-26T17:09:54.494931
26,1630,2023-04-27T10:56:54.494933
7,4519,2023-04-27T02:41:54.494935
25,4371,2023-04-27T07:42:54.494937
11,2642,2023-04-27T12:14:54.494939
7,2623,2023-04-27T10:48:54.494940
18,4491,2023-04-26T14:52:54.494942
11,2725,2023-04-26T15:06:54.494944
7,4602,2023-04-27T00:15:54.494946
24,2459,2023-04-27T02:38:54.494948
12,596,2023-04-27T07:13:54.494950
25,87,2023-04-27T01:49:54.494951
17,4123,2023-04-27T06:55:54.494953
29,2667,2023-04-26T22:24:54.494956
12,218,2023-04-27T01:24:54.494957
8,230,2023-04-26T15:02:54.494959
7,1566,2023-04-27T10:12:54.494961
22,1206,2023-04-27T05:33:54.494963
7,4469,2023-04-27T00:27:54.494965
8,4598,2023-04-26T17:10:54.494967
22,2016,2023-04-27T09:59:54.494968
17,1335,2023-04-27T01:01:54.494970
5,419,2023-04-26T15:50:54.494972
10,2326,2023-04-27T00:58:54.494974
7,1550,2023-04-27T09:43:54.494976
17,683,2023-04-27T10:57:54.494977
18,1492,2023-04-26T14:00:54.494979
26,646,2023-04-27T06:41:54.494981
8,4311,2023-04-27T07:49:54.494983
12,3618,2023-04-26T18:05:54.494985
24,4788,2023-04-26T19:07:54.494987
14,4561,2023-04-26T20:18:54.494989
26,4533,2023-04-27T09:10:54.494990
24,2513,2023-04-26T16:12:54.494992
11,1758,2023-04-26T17:35:54.494994
6,899,2023-04-26T20:34:54.494996
21,1630,2023-04-27T06:14:54.494998
28,4998,2023-04-26T21:01:54.495000
17,4010,2023-04-27T01:02:54.495001
1,3095,2023-04-27T08:03:54.495003
14,2983,2023-04-26T23:25:54.495005
14,2463,2023-04-26T22:47:54.495007
5,1843,2023-04-27T04:41:54.495009
14,740,2023-04-26T17:30:54.495011
23,1216,2023-04-27T08:51:54.495013
17,1400,2023-04-26T21:13:54.495015
2,3472,2023-04-27T06:35:54.495016
20,2940,2023-04-26T16:08:54.495018
4,2252,2023-04-27T06:57:54.495020
16,2845,2023-04-27T07:06:54.495022
18,2142,2023-04-27T05:57:54.495024
26,2255,2023-04-27T03:36:54.495026
24,481,2023-04-27T01:39:54.495028
0,4157,2023-04-27T04:07:54.495030
17,4814,2023-04-26T17:27:54.495031
8,1206,2023-04-26T14:18:54.495033
8,4085,2023-04-26T18:45:54.495035
16,3864,2023-04-26T22:03:54.495037
10,4294,2023-04-26T15:48:54.495039
2,2036,2023-04-27T03:45:54.495041
1,3453,2023-04-27T08:52:54.495043
25,3684,2023-04-27T05:02:54.495045
13,733,2023-04-27T02:21:54.495047
23,3780,2023-04-26T15:01:54.495048
27,1601,2023-04-27T12:36:54.495050
6,4994,2023-04-27T01:44:54.495052
11,567,2023-04-27T13:36:54.495054
23,36,2023-04-27T04:56:54.495056
1,413,2023-04-27T01:46:54.495058
20,1982,2023-04-26T22:20:54.495059
0,3214,2023-04-27T04:16:54.495061
17,771,2023-04-27T02:49:54.495063
27,1886,2023-04-26T19:10:54.495065
18,130,2023-04-26T18:36:54.495067
10,6231,2023-04-26T15:29:54.495069
20,2426,2023-04-26T16:27:54.495070
22,10,2023-04-27T07:04:54.495072
16,4679,2023-04-26T15:52:54.495074
24,1208,2023-04-27T10:21:54.495076
9,798,2023-04-27T03:40:54.495078
10,3629,2023-04-27T11:12:54.495079
14,4770,2023-04-27T12:25:54.495081
26,159,2023-04-27T04:20:54.495083
27,1569,2023-04-27T08:58:54.495085
22,2280,2023-04-27T06:44:54.495087
11,1684,2023-04-27T10:49:54.495088
8,4148,2023-04-27T00:48:54.495090
12,3760,2023-04-27T00:58:54.495092
28,3461,2023-04-27T03:24:54.495094
10,16756,2023-04-27T00:20:54.495096
22,2381,2023-04-26T18:36:54.495098
24,1230,2023-04-26T20:55:54.495099
6,3393,2023-04-27T12:55:54.495101
9,2380,2023-04-27T00:30:54.495103
3,3375,2023-04-27T07:10:54.495105
22,232,2023-04-27T12:13:54.495107
11,4023,2023-04-27T11:56:54.495109
21,3245,2023-04-26T20:23:54.495110
6,1445,2023-04-26T21:37:54.495112
20,3342,2023-04-26T20:33:54.495114
9,1621,2023-04-27T08:42:54.495116
14,2518,2023-04-26T14:47:54.495118
17,2372,2023-04-27T00:19:54.495119
6,2587,2023-04-27T08:43:54.495121
25,1281,2023-04-27T06:09:54.495123
20,4334,2023-04-27T04:31:54.495125
6,2171,2023-04-27T12:08:54.495127
17,4438,2023-04-27T01:53:54.495129
13,680,2023-04-27T08:25:54.495131
1,4964,2023-04-27T02:19:54.495132
6,3136,2023-04-27T02:33:54.495134
16,3820,2023-04-27T04:29:54.495136
25,4062,2023-04-27T10:26:54.495138
6,3664,2023-04-26T16:16:54.495140
17,465,2023-04-27T02:49:54.495141
20,2117,2023-04-27T04:40:54.495143
12,1275,2023-04-26T15:44:54.495145
27,3126,2023-04-27T03:44:54.495147
15,73,2023-04-27T02:14:54.495149
19,2967,2023-04-27T01:24:54.495151
17,3428,2023-04-27T01:09:54.495152
14,2247,2023-04-27T05:18:54.495154
4,3614,2023-04-27T08:19:54.495156
5,4595,2023-04-26T22:54:54.495158
27,1591,2023-04-26T19:04:54.495160
16,2215,2023-04-27T02:25:54.495162
11,3094,2023-04-27T11:55:54.495164
0,3785,2023-04-27T11:22:54.495170
0,1275,2023-04-27T11:05:54.495172
1,3613,2023-04-26T14:59:54.495174
25,2762,2023-04-27T08:14:54.495175
28,2905,2023-04-27T09:18:54.495177
23,1630,2023-04-26T18:58:54.495179
10,13530,2023-04-27T01:12:54.495181
4,1170,2023-04-26T17:16:54.495183
5,786,2023-04-26T22:05:54.495185
19,3221,2023-04-27T09:57:54.495187
14,4157,2023-04-26T14:59:54.495188
22,4406,2023-04-27T10:42:54.495190
2,2178,2023-04-27T04:15:54.495192
10,6228,2023-04-26T17:19:54.495194
26,319,2023-04-27T08:05:54.495196
21,3046,2023-04-26T21:21:54.495198
6,532,2023-04-27T12:22:54.495200
4,3177,2023-04-27T02:55:54.495202
28,2198,2023-04-26T18:54:54.495203
28,1056,2023-04-27T09:43:54.495205
18,2220,2023-04-26T21:16:54.495207
7,1276,2023-04-27T09:13:54.495209
5,871,2023-04-27T02:16:54.495211
27,3273,2023-04-27T01:31:54.495213
15,848,2023-04-27T07:48:54.495215
11,3114,2023-04-26T19:46:54.495216
3,1612,2023-04-27T10:44:54.495218
27,1795,2023-04-27T03:37:54.495220
9,4949,2023-04-26T15:20:54.495222
27,4596,2023-04-26T15:06:54.495224
5,2477,2023-04-27T01:41:54.495226
21,1232,2023-04-27T06:04:54.495227
8,4561,2023-04-27T06:47:54.495229
27,576,2023-04-27T08:13:54.495231
25,2577,2023-04-26T19:55:54.495233
22,410,2023-04-27T09:35:54.495235
22,2893,2023-04-27T05:55:54.495237
23,3370,2023-04-27T05:35:54.495239
15,2911,2023-04-27T00:45:54.495240
12,2389,2023-04-27T03:04:54.495242
3,1588,2023-04-26T23:19:54.495244
27,4396,2023-04-27T13:21:54.495246
28,542,2023-04-27T09:38:54.495248
2,967,2023-04-26T23:37:54.495250
16,2855,2023-04-27T11:55:54.495252
1,820,2023-04-26T22:49:54.495253
9,2118,2023-04-27T01:49:54.495255
0,2585,2023-04-26T21:59:54.495257
10,9237,2023-04-27T03:30:54.495259
0,4192,2023-04-27T02:01:54.495261
1,3945,2023-04-26T23:25:54.495263
23,1954,2023-04-27T06:54:54.495265
23,1445,2023-04-27T00:14:54.495266
28,2782,2023-04-26T15:05:54.495268
6,3491,2023-04-26T18:49:54.495270
25,1234,2023-04-26T19:17:54.495272
15,2663,2023-04-26T16:45:54.495274
7,2349,2023-04-27T12:14:54.495276
19,3219,2023-04-27T08:17:54.495277
7,1936,2023-04-27T08:50:54.495279
15,1576,2023-04-26T18:01:54.495281
28,309,2023-04-27T08:08:54.495283
22,1650,2023-04-26T23:17:54.495285
23,3018,2023-04-26T18:47:54.495287
0,2842,2023-04-26T20:49:54.495289
25,1539,2023-04-26T14:59:54.495311
8,1613,2023-04-27T11:00:54.495313
26,4359,2023-04-27T00:54:54.495315
0,46,2023-04-27T10:52:54.495317
3,3864,2023-04-27T04:36:54.495319
19,4493,2023-04-26T21:49:54.495321
20,2585,2023-04-27T08:24:54.495323
17,305,2023-04-27T03:39:54.495324
20,969,2023-04-27T09:10:54.495326
21,837,2023-04-26T18:23:54.495328
14,699,2023-04-27T02:16:54.495330
1,4734,2023-04-26T23:18:54.495332
25,2644,2023-04-26T14:22:54.495333
12,3215,2023-04-27T04:17:54.495335
12,404,2023-04-27T10:31:54.495337
28,1725,2023-04-26T18:41:54.495339
5,2725,2023-04-26T19:50:54.495341
21,660,2023-04-26T22:46:54.495343
8,3294,2023-04-27T09:43:54.495344
0,1465,2023-04-26T14:31:54.495346
27,3591,2023-04-27T03:22:54.495348
7,3606,2023-04-26T21:31:54.495350
4,457,2023-04-26T20:57:54.495352
15,4995,2023-04-27T03:05:54.495354
22,3582,2023-04-27T01:40:54.495356
4,4014,2023-04-27T00:28:54.495358
7,1552,2023-04-26T20:33:54.495359
8,3904,2023-04-27T11:21:54.495361
12,382,2023-04-26T14:45:54.495363
27,388,2023-04-27T03:10:54.495365
5,1917,2023-04-27T13:22:54.495367
13,185,2023-04-26T23:05:54.495368
24,1551,2023-04-26T18:28:54.495370
12,191,2023-04-26T21:12:54.495372
1,1651,2023-04-27T05:34:54.495374
2,3569,2023-04-27T04:22:54.495376
25,2100,2023-04-27T10:55:54.495377
11,1630,2023-04-26T15:19:54.495379
4,881,2023-04-27T01:09:54.495381
5,110,2023-04-26T17:33:54.495383
9,3275,2023-04-26T16:44:54.495385
26,2743,2023-04-27T00:39:54.495387
21,1629,2023-04-26T17:30:54.495388
26,3215,2023-04-26T17:59:54.495390
5,2777,2023-04-27T04:26:54.495392
10,13946,2023-04-26T16:59:54.495394
28,918,2023-04-26T13:41:54.495399
4,3536,2023-04-27T11:11:54.495401
29,913,2023-04-27T05:36:54.495403
27,1248,2023-04-27T06:25:54.495404
14,2788,2023-04-26T21:35:54.495406
0,4991,2023-04-27T05:16:54.495408
14,195,2023-04-27T11:56:54.495410
5,1856,2023-04-27T04:03:54.495412
22,1548,2023-04-26T20:03:54.495414
10,10200,2023-04-27T02:38:54.495416
19,221,2023-04-27T09:54:54.495417
23,1936,2023-04-26T20:03:54.495419
19,4945,2023-04-27T03:16:54.495421
27,3590,2023-04-26T18:12:54.495423
15,4886,2023-04-27T03:00:54.495425
4,4451,2023-04-27T01:20:54.495427
23,2214,2023-04-26T22:51:54.495429
6,1975,2023-04-27T12:56:54.495430
1,329,2023-04-27T00:24:54.495432
0,340,2023-04-26T23:14:54.495434
12,3978,2023-04-27T08:31:54.495436
13,2260,2023-04-27T10:28:54.495438
26,2489,2023-04-26T21:07:54.495440
18,4251,2023-04-27T07:50:54.495441
20,481,2023-04-27T12:46:54.495443
8,3228,2023-04-27T05:39:54.495445
10,7913,2023-04-27T08:53:54.495447
26,885,2023-04-27T02:26:54.495449
3,3499,2023-04-26T23:06:54.495451
0,329,2023-04-26T15:52:54.495453
25,3442,2023-04-27T01:41:54.495454
8,1158,2023-04-27T13:26:54.495456
12,3983,2023-04-27T01:19:54.495458
8,2694,2023-04-26T13:42:54.495460
29,680,2023-04-27T00:11:54.495462
24,940,2023-04-27T12:17:54.495464
27,3540,2023-04-27T07:23:54.495466
0,373,2023-04-27T12:23:54.495468
26,534,2023-04-26T21:03:54.495469
25,3864,2023-04-27T10:11:54.495471
17,3760,2023-04-26T17:46:54.495473
20,603,2023-04-26T14:55:54.495475
9,1181,2023-04-26T16:57:54.495477
27,3903,2023-04-27T07:41:54.495479
22,3136,2023-04-27T03:17:54.495481
24,4363,2023-04-27T04:22:54.495482
27,3964,2023-04-27T12:57:54.495484
17,3865,2023-04-27T10:26:54.495486
12,2241,2023-04-27T05:28:54.495488
23,1576,2023-04-26T20:21:54.495490
17,4553,2023-04-26T21:39:54.495492
23,2020,2023-04-27T08:01:54.495494
27,2423,2023-04-26T19:51:54.495496
26,3775,2023-04-27T05:06:54.495497
6,922,2023-04-27T06:16:54.495499
2,2387,2023-04-27T06:29:54.495501
11,3281,2023-04-26T19:32:54.495503
5,4185,2023-04-27T03:48:54.495505
0,1969,2023-04-27T02:40:54.495507
25,812,2023-04-27T06:12:54.495509
24,4481,2023-04-27T07:16:54.495511
22,3459,2023-04-27T12:30:54.495513
15,723,2023-04-27T12:05:54.495515
27,1482,2023-04-27T01:50:54.495516
19,4709,2023-04-27T08:04:54.495518
6,736,2023-04-26T15:42:54.495520
20,272,2023-04-27T04:43:54.495522
17,883,2023-04-27T09:09:54.495524
16,3729,2023-04-27T03:13:54.495526
26,3696,2023-04-26T21:37:54.495528
22,296,2023-04-27T04:28:54.495530
13,446,2023-04-26T15:49:54.495532
5,2703,2023-04-27T10:24:54.495533
4,2843,2023-04-27T05:45:54.495535
1,2121,2023-04-27T13:32:54.495537
10,11948,2023-04-27T05:13:54.495539
11,1605,2023-04-27T10:14:54.495550
8,3181,2023-04-27T01:57:54.495552
11,4303,2023-04-26T17:47:54.495554
0,3761,2023-04-27T08:46:54.495556
29,2480,2023-04-27T12:24:54.495558
4,1930,2023-04-26T20:14:54.495560
5,1421,2023-04-27T02:07:54.495562
28,1503,2023-04-27T04:22:54.495563
23,4927,2023-04-27T01:52:54.495565
15,1249,2023-04-26T18:16:54.495567
28,1476,2023-04-26T20:00:54.495569
9,1085,2023-04-27T01:33:54.495571
14,3089,2023-04-26T21:44:54.495573
13,4122,2023-04-27T10:12:54.495574
11,2468,2023-04-26T18:37:54.495576
21,1335,2023-04-27T04:06:54.495578
25,4503,2023-04-27T07:24:54.495580
24,4692,2023-04-26T17:35:54.495583
11,4578,2023-04-27T03:28:54.495585
6,4424,2023-04-26T18:34:54.495587
0,1068,2023-04-26T16:46:54.495589
3,2623,2023-04-26T18:50:54.495591
13,4604,2023-04-27T03:57:54.495593
2,1132,2023-04-27T09:02:54.495594
8,1436,2023-04-27T01:25:54.495596
4,33,2023-04-27T05:06:54.495598
24,1064,2023-04-26T20:11:54.495600
10,15124,2023-04-27T01:00:54.495602
2,2792,2023-04-26T19:48:54.495604
5,3705,2023-04-26T15:16:54.495606
20,2177,2023-04-27T08:58:54.495607
19,3326,2023-04-27T03:52:54.495609
0,1543,2023-04-27T06:39:54.495611
0,2794,2023-04-26T21:51:54.495613
29,2392,2023-04-26T21:23:54.495615
29,3692,2023-04-26T18:33:54.495616
23,4489,2023-04-27T05:36:54.495618
22,1900,2023-04-27T08:15:54.495620
15,4998,2023-04-27T05:05:54.495622
0,538,2023-04-27T06:08:54.495624
14,3274,2023-04-27T02:08:54.495626
4,1004,2023-04-27T10:05:54.495627
13,298,2023-04-27T12:15:54.495629
0,3217,2023-04-27T00:48:54.495631
4,3650,2023-04-27T07:25:54.495633
6,4213,2023-04-26T22:58:54.495635
25,4344,2023-04-27T04:00:54.495637
13,31,2023-04-26T15:27:54.495639
9,3276,2023-04-27T08:22:54.495640
19,2259,2023-04-26T19:01:54.495642
0,2585,2023-04-26T15:38:54.495644
0,4922,2023-04-27T12:19:54.495646
0,4798,2023-04-26T15:23:54.495648
25,4795,2023-04-26T16:05:54.495650
8,3786,2023-04-27T13:09:54.495652
0,2455,2023-04-26T20:23:54.495653
23,1931,2023-04-26T21:09:54.495655
5,2854,2023-04-26T21:17:54.495657
14,4945,2023-04-27T10:17:54.495659
29,3996,2023-04-27T08:15:54.495661
7,1048,2023-04-27T11:53:54.495663
23,603,2023-04-26T14:10:54.495665
18,3824,2023-04-26T23:08:54.495666
6,4092,2023-04-26T21:33:54.495668
18,4369,2023-04-26T23:29:54.495670
26,2460,2023-04-26T18:58:54.495672
25,1343,2023-04-26T18:12:54.495674
28,2713,2023-04-26T16:43:54.495675
15,435,2023-04-26T14:37:54.495677
28,2677,2023-04-27T13:24:54.495679
7,3073,2023-04-27T00:38:54.495681
23,2375,2023-04-26T23:04:54.495683
9,1756,2023-04-27T08:56:54.495684
3,2577,2023-04-26T15:26:54.495686
15,796,2023-04-27T09:47:54.495688
18,1505,2023-04-27T12:06:54.495690
9,564,2023-04-27T07:38:54.495692
24,4582,2023-04-26T14:01:54.495694
18,3333,2023-04-27T03:36:54.495695
17,680,2023-04-27T04:33:54.495697
19,4117,2023-04-27T07:23:54.495699
5,1886,2023-04-27T06:50:54.495701
15,2259,2023-04-27T09:09:54.495703
27,1092,2023-04-26T15:20:54.495705
17,3185,2023-04-26T20:42:54.495706
25,791,2023-04-27T08:47:54.495708
22,817,2023-04-26T18:21:54.495710
2,3305,2023-04-27T12:04:54.495712
20,1640,2023-04-27T11:37:54.495714
10,4677,2023-04-27T07:38:54.495715
24,700,2023-04-26T14:55:54.495717
23,3337,2023-04-26T22:13:54.495719
28,4144,2023-04-27T00:16:54.495721
20,2323,2023-04-26T21:27:54.495723
6,488,2023-04-27T00:55:54.495725
23,1689,2023-04-26T23:11:54.495727
0,3470,2023-04-26T23:52:54.495728
3,71,2023-04-27T01:41:54.495730
6,1542,2023-04-27T06:47:54.495732
5,1889,2023-04-27T07:57:54.495734
21,2652,2023-04-26T17:13:54.495736
6,2549,2023-04-26T22:36:54.495738
29,934,2023-04-26T17:45:54.495740
0,2285,2023-04-27T09:11:54.495741
15,4630,2023-04-26T20:12:54.495743
3,1435,2023-04-26T21:02:54.495745
0,609,2023-04-27T04:29:54.495747
7,3331,2023-04-26T14:25:54.495749
5,1337,2023-04-27T02:51:54.495751
0,3043,2023-04-26T18:43:54.495752
19,3414,2023-04-26T15:48:54.495754
15,1984,2023-04-27T08:02:54.495756
22,3372,2023-04-27T12:02:54.495758
28,4841,2023-04-26T17:29:54.495760
29,2904,2023-04-27T02:41:54.495761
12,2186,2023-04-27T10:31:54.495763
21,135,2023-04-27T01:45:54.495765
27,1268,2023-04-26T16:10:54.495767
8,4490,2023-04-27T02:14:54.495769
11,1857,2023-04-27T12:15:54.495771
8,2946,2023-04-26T21:32:54.495772
16,2623,2023-04-27T09:27:54.495774
5,2813,2023-04-27T10:50:54.495776
15,2330,2023-04-26T22:26:54.495778
12,1290,2023-04-26T18:40:54.495780
2,486,2023-04-26T13:53:54.495782
27,3468,2023-04-26T23:02:54.495783
18,1497,2023-04-26T20:37:54.495785
8,3767,2023-04-26T18:22:54.495787
11,2251,2023-04-26T20:55:54.495789
11,197,2023-04-26T20:50:54.495791
2,391,2023-04-27T03:43:54.495793
6,2323,2023-04-26T23:41:54.495795
0,1112,2023-04-27T09:06:54.495796
0,1959,2023-04-26T13:43:54.495798
7,933,2023-04-27T10:22:54.495800
20,2850,2023-04-27T11:17:54.495802
19,2475,2023-04-26T18:36:54.495804
25,703,2023-04-26T23:23:54.495805
8,984,2023-04-26T20:00:54.495807
29,884,2023-04-27T09:34:54.495809
9,2258,2023-04-27T13:31:54.495811
28,4013,2023-04-26T23:39:54.495813
17,1339,2023-04-26T23:35:54.495814
10,1036,2023-04-26T22:03:54.495816
7,974,2023-04-27T00:34:54.495818
10,180,2023-04-26T22:35:54.495820
11,1030,2023-04-26T13:37:54.495822
7,417,2023-04-27T08:59:54.495824
29,4620,2023-04-26T19:04:54.495825
8,4134,2023-04-26T22:06:54.495827
6,3900,2023-04-27T01:43:54.495829
15,2935,2023-04-27T09:09:54.495831
22,3231,2023-04-26T17:12:54.495833
29,559,2023-04-26T17:08:54.495835
8,2627,2023-04-27T09:38:54.495837
9,64,2023-04-27T07:41:54.495839
8,3714,2023-04-27T10:49:54.495840
0,4637,2023-04-27T09:35:54.495842
21,132,2023-04-27T01:34:54.495844
26,4095,2023-04-26T20:09:54.495846
10,17364,2023-04-27T01:59:54.495848
6,148,2023-04-27T05:27:54.495850
13,64,2023-04-27T00:10:54.495852
17,3526,2023-04-27T04:50:54.495854
8,3866,2023-04-26T13:57:54.495855
21,2063,2023-04-26T21:30:54.495857
12,4808,2023-04-27T07:25:54.495859
18,4537,2023-04-26T21:57:54.495861
26,2159,2023-04-27T06:29:54.495863
5,2600,2023-04-27T00:57:54.495865
18,2429,2023-04-27T12:21:54.495866
20,3165,2023-04-27T00:52:54.495868
15,4278,2023-04-27T05:13:54.495870
21,95,2023-04-27T03:58:54.495872
23,741,2023-04-27T01:59:54.495874
11,4508,2023-04-27T04:58:54.495876
26,4767,2023-04-26T14:11:54.495896
14,157,2023-04-27T04:52:54.495898
17,2020,2023-04-26T19:07:54.495899
19,4594,2023-04-26T18:52:54.495901
13,2529,2023-04-27T12:03:54.495903
0,487,2023-04-26T22:42:54.495905
17,2150,2023-04-27T01:34:54.495907
15,4601,2023-04-27T06:34:54.495909
12,3585,2023-04-26T15:10:54.495911
4,3681,2023-04-26T14:32:54.495912
4,2780,2023-04-27T02:10:54.495914
28,1786,2023-04-27T01:07:54.495916
29,4191,2023-04-27T04:01:54.495918
26,1768,2023-04-27T08:47:54.495920
17,3387,2023-04-27T11:55:54.495922
22,4101,2023-04-27T11:32:54.495924
24,3875,2023-04-27T02:07:54.495926
12,1146,2023-04-27T09:51:54.495927
23,4309,2023-04-27T13:30:54.495929
26,3495,2023-04-27T01:13:54.495931
2,2180,2023-04-26T14:27:54.495933
13,1335,2023-04-27T00:11:54.495935
18,340,2023-04-26T21:55:54.495937
5,4105,2023-04-27T13:23:54.495939
13,2372,2023-04-27T05:05:54.495940
10,2168,2023-04-27T01:24:54.495942
22,1226,2023-04-27T03:09:54.495944
2,492,2023-04-27T05:40:54.495946
11,4326,2023-04-27T05:25:54.495948
6,3514,2023-04-26T22:41:54.495950
2,799,2023-04-26T15:26:54.495951
17,98,2023-04-27T11:32:54.495953
24,4902,2023-04-26T16:09:54.495955
29,2632,2023-04-26T16:02:54.495957
14,248,2023-04-27T10:19:54.495959
13,3867,2023-04-26T22:47:54.495961
11,3450,2023-04-26T23:04:54.495962
23,1517,2023-04-27T06:18:54.495964
18,1477,2023-04-26T18:12:54.495966
0,1001,2023-04-26T16:30:54.495968
9,640,2023-04-27T10:53:54.495970
27,104,2023-04-27T03:49:54.495972
5,4006,2023-04-26T16:57:54.495974
12,1912,2023-04-27T09:43:54.495975
5,2480,2023-04-27T06:45:54.495979
29,4346,2023-04-26T23:04:54.495981
24,2551,2023-04-27T01:39:54.495982
14,3382,2023-04-27T12:21:54.495984
29,4035,2023-04-26T20:07:54.495986
14,4913,2023-04-27T09:59:54.495988
23,2090,2023-04-26T15:47:54.495990
28,3864,2023-04-26T16:47:54.495992
27,4456,2023-04-27T05:59:54.495993
12,2543,2023-04-27T04:00:54.495995
10,2348,2023-04-26T21:22:54.495997
9,1149,2023-04-27T06:25:54.495999
12,1072,2023-04-27T07:04:54.496001
9,2718,2023-04-26T17:21:54.496003
28,4985,2023-04-27T09:26:54.496005
4,2630,2023-04-26T22:58:54.496007
14,782,2023-04-27T12:22:54.496008
11,1732,2023-04-26T15:00:54.496010
11,202,2023-04-27T04:53:54.496012
13,4524,2023-04-26T16:45:54.496014
